xmin,ymin,xmax,ymax,label,width,height,images,annotation,cropped_images
201,191,230,234,with_mask,400,267,maksssksksss11.png,maksssksksss11.xml,maksssksksss11-61.png
266,45,281,61,with_mask,400,267,maksssksksss11.png,maksssksksss11.xml,maksssksksss11-62.png
335,27,359,52,without_mask,400,267,maksssksksss110.png,maksssksksss110.xml,maksssksksss110-63.png
356,72,385,98,with_mask,400,267,maksssksksss110.png,maksssksksss110.xml,maksssksksss110-64.png
381,14,401,34,without_mask,400,267,maksssksksss110.png,maksssksksss110.xml,maksssksksss110-65.png
314,115,350,152,with_mask,400,267,maksssksksss110.png,maksssksksss110.xml,maksssksksss110-66.png
216,57,241,84,without_mask,400,267,maksssksksss110.png,maksssksksss110.xml,maksssksksss110-67.png
236,161,273,195,without_mask,400,267,maksssksksss110.png,maksssksksss110.xml,maksssksksss110-68.png
6,111,43,148,without_mask,400,267,maksssksksss110.png,maksssksksss110.xml,maksssksksss110-69.png
22,20,49,46,without_mask,400,267,maksssksksss110.png,maksssksksss110.xml,maksssksksss110-70.png
48,12,70,37,with_mask,400,267,maksssksksss110.png,maksssksksss110.xml,maksssksksss110-71.png
113,1,136,24,with_mask,400,267,maksssksksss110.png,maksssksksss110.xml,maksssksksss110-72.png
78,17,106,46,without_mask,400,267,maksssksksss110.png,maksssksksss110.xml,maksssksksss110-73.png
97,66,115,86,without_mask,400,267,maksssksksss110.png,maksssksksss110.xml,maksssksksss110-74.png
282,194,322,232,with_mask,400,267,maksssksksss110.png,maksssksksss110.xml,maksssksksss110-75.png
42,157,85,186,without_mask,400,267,maksssksksss110.png,maksssksksss110.xml,maksssksksss110-76.png
59,205,111,264,with_mask,400,267,maksssksksss110.png,maksssksksss110.xml,maksssksksss110-77.png
116,155,172,198,without_mask,400,267,maksssksksss110.png,maksssksksss110.xml,maksssksksss110-78.png
112,85,149,118,without_mask,400,267,maksssksksss110.png,maksssksksss110.xml,maksssksksss110-79.png
124,27,153,47,without_mask,400,267,maksssksksss110.png,maksssksksss110.xml,maksssksksss110-80.png
163,29,189,53,without_mask,400,267,maksssksksss110.png,maksssksksss110.xml,maksssksksss110-81.png
70,111,104,145,without_mask,400,267,maksssksksss110.png,maksssksksss110.xml,maksssksksss110-82.png
186,18,215,44,with_mask,400,267,maksssksksss110.png,maksssksksss110.xml,maksssksksss110-83.png
253,94,293,135,with_mask,400,267,maksssksksss110.png,maksssksksss110.xml,maksssksksss110-84.png
286,60,311,84,without_mask,400,267,maksssksksss110.png,maksssksksss110.xml,maksssksksss110-85.png
281,19,308,40,without_mask,400,267,maksssksksss110.png,maksssksksss110.xml,maksssksksss110-86.png
237,15,268,46,without_mask,400,267,maksssksksss110.png,maksssksksss110.xml,maksssksksss110-87.png
178,77,214,111,with_mask,400,267,maksssksksss110.png,maksssksksss110.xml,maksssksksss110-88.png
109,59,132,82,with_mask,400,268,maksssksksss111.png,maksssksksss111.xml,maksssksksss111-89.png
17,182,35,202,with_mask,400,268,maksssksksss111.png,maksssksksss111.xml,maksssksksss111-90.png
383,96,397,110,with_mask,400,268,maksssksksss111.png,maksssksksss111.xml,maksssksksss111-91.png
383,125,398,145,without_mask,400,268,maksssksksss111.png,maksssksksss111.xml,maksssksksss111-92.png
248,73,267,95,with_mask,400,268,maksssksksss111.png,maksssksksss111.xml,maksssksksss111-93.png
184,68,207,93,with_mask,400,268,maksssksksss111.png,maksssksksss111.xml,maksssksksss111-94.png
140,64,161,85,with_mask,400,268,maksssksksss111.png,maksssksksss111.xml,maksssksksss111-95.png
17,101,25,116,with_mask,400,268,maksssksksss111.png,maksssksksss111.xml,maksssksksss111-96.png
48,98,61,113,with_mask,400,268,maksssksksss111.png,maksssksksss111.xml,maksssksksss111-97.png
17,127,27,144,without_mask,400,268,maksssksksss111.png,maksssksksss111.xml,maksssksksss111-98.png
5,133,14,152,without_mask,400,268,maksssksksss111.png,maksssksksss111.xml,maksssksksss111-99.png
291,65,314,90,with_mask,400,268,maksssksksss111.png,maksssksksss111.xml,maksssksksss111-100.png
90,84,138,131,mask_weared_incorrect,267,400,maksssksksss112.png,maksssksksss112.xml,maksssksksss112-101.png
228,119,241,134,without_mask,400,267,maksssksksss113.png,maksssksksss113.xml,maksssksksss113-102.png
133,108,148,124,with_mask,400,267,maksssksksss113.png,maksssksksss113.xml,maksssksksss113-103.png
203,117,214,131,with_mask,400,267,maksssksksss113.png,maksssksksss113.xml,maksssksksss113-104.png
294,115,308,130,with_mask,400,267,maksssksksss113.png,maksssksksss113.xml,maksssksksss113-105.png
4,83,75,161,without_mask,400,225,maksssksksss114.png,maksssksksss114.xml,maksssksksss114-106.png
80,58,153,141,with_mask,400,225,maksssksksss114.png,maksssksksss114.xml,maksssksksss114-107.png
79,91,103,112,with_mask,400,267,maksssksksss115.png,maksssksksss115.xml,maksssksksss115-108.png
137,88,159,110,with_mask,400,267,maksssksksss115.png,maksssksksss115.xml,maksssksksss115-109.png
179,107,205,134,with_mask,400,267,maksssksksss115.png,maksssksksss115.xml,maksssksksss115-110.png
254,105,278,128,with_mask,400,267,maksssksksss115.png,maksssksksss115.xml,maksssksksss115-111.png
221,78,244,100,with_mask,400,267,maksssksksss115.png,maksssksksss115.xml,maksssksksss115-112.png
172,86,183,107,with_mask,400,267,maksssksksss115.png,maksssksksss115.xml,maksssksksss115-113.png
185,85,209,104,with_mask,400,267,maksssksksss115.png,maksssksksss115.xml,maksssksksss115-114.png
109,80,128,101,with_mask,400,267,maksssksksss115.png,maksssksksss115.xml,maksssksksss115-115.png
24,67,47,91,with_mask,400,267,maksssksksss115.png,maksssksksss115.xml,maksssksksss115-116.png
160,79,193,118,with_mask,400,225,maksssksksss116.png,maksssksksss116.xml,maksssksksss116-117.png
116,88,150,122,with_mask,400,225,maksssksksss116.png,maksssksksss116.xml,maksssksksss116-118.png
379,61,399,96,with_mask,400,225,maksssksksss116.png,maksssksksss116.xml,maksssksksss116-119.png
235,43,272,87,with_mask,400,225,maksssksksss116.png,maksssksksss116.xml,maksssksksss116-120.png
304,68,336,102,with_mask,400,225,maksssksksss116.png,maksssksksss116.xml,maksssksksss116-121.png
131,224,227,346,with_mask,301,400,maksssksksss117.png,maksssksksss117.xml,maksssksksss117-122.png
217,70,255,107,with_mask,400,267,maksssksksss118.png,maksssksksss118.xml,maksssksksss118-123.png
138,79,176,116,with_mask,400,267,maksssksksss118.png,maksssksksss118.xml,maksssksksss118-124.png
132,47,153,71,with_mask,400,289,maksssksksss119.png,maksssksksss119.xml,maksssksksss119-125.png
242,94,268,125,with_mask,400,289,maksssksksss119.png,maksssksksss119.xml,maksssksksss119-126.png
254,51,266,64,with_mask,400,289,maksssksksss119.png,maksssksksss119.xml,maksssksksss119-127.png
263,79,275,92,with_mask,400,289,maksssksksss119.png,maksssksksss119.xml,maksssksksss119-128.png
302,81,330,107,without_mask,400,289,maksssksksss119.png,maksssksksss119.xml,maksssksksss119-129.png
352,45,377,67,without_mask,400,289,maksssksksss119.png,maksssksksss119.xml,maksssksksss119-130.png
54,92,82,120,with_mask,400,289,maksssksksss119.png,maksssksksss119.xml,maksssksksss119-131.png
273,58,290,75,with_mask,400,272,maksssksksss12.png,maksssksksss12.xml,maksssksksss12-132.png
335,70,353,87,with_mask,400,272,maksssksksss12.png,maksssksksss12.xml,maksssksksss12-133.png
120,55,132,68,with_mask,400,272,maksssksksss12.png,maksssksksss12.xml,maksssksksss12-134.png
94,59,102,69,with_mask,400,272,maksssksksss12.png,maksssksksss12.xml,maksssksksss12-135.png
232,61,249,78,with_mask,400,272,maksssksksss12.png,maksssksksss12.xml,maksssksksss12-136.png
72,71,90,88,with_mask,400,272,maksssksksss12.png,maksssksksss12.xml,maksssksksss12-137.png
119,70,137,88,with_mask,400,272,maksssksksss12.png,maksssksksss12.xml,maksssksksss12-138.png
153,61,171,81,with_mask,400,272,maksssksksss12.png,maksssksksss12.xml,maksssksksss12-139.png
298,61,312,84,without_mask,400,272,maksssksksss12.png,maksssksksss12.xml,maksssksksss12-140.png
354,54,365,68,with_mask,400,272,maksssksksss12.png,maksssksksss12.xml,maksssksksss12-141.png
38,82,45,98,with_mask,400,272,maksssksksss12.png,maksssksksss12.xml,maksssksksss12-142.png
163,76,185,96,with_mask,400,272,maksssksksss12.png,maksssksksss12.xml,maksssksksss12-143.png
36,70,46,82,with_mask,400,272,maksssksksss12.png,maksssksksss12.xml,maksssksksss12-144.png
59,185,183,336,with_mask,301,400,maksssksksss120.png,maksssksksss120.xml,maksssksksss120-145.png
11,48,41,75,without_mask,400,300,maksssksksss121.png,maksssksksss121.xml,maksssksksss121-146.png
91,41,121,72,without_mask,400,300,maksssksksss121.png,maksssksksss121.xml,maksssksksss121-147.png
176,56,204,83,without_mask,400,300,maksssksksss121.png,maksssksksss121.xml,maksssksksss121-148.png
301,62,329,87,without_mask,400,300,maksssksksss121.png,maksssksksss121.xml,maksssksksss121-149.png
343,74,368,97,without_mask,400,300,maksssksksss121.png,maksssksksss121.xml,maksssksksss121-150.png
387,82,400,107,without_mask,400,300,maksssksksss121.png,maksssksksss121.xml,maksssksksss121-151.png
239,56,266,81,without_mask,400,300,maksssksksss121.png,maksssksksss121.xml,maksssksksss121-152.png
201,38,345,213,with_mask,400,267,maksssksksss122.png,maksssksksss122.xml,maksssksksss122-153.png
227,129,321,229,with_mask,400,301,maksssksksss123.png,maksssksksss123.xml,maksssksksss123-154.png
92,106,191,224,with_mask,400,301,maksssksksss123.png,maksssksksss123.xml,maksssksksss123-155.png
1,170,20,196,without_mask,400,271,maksssksksss124.png,maksssksksss124.xml,maksssksksss124-156.png
378,146,399,171,with_mask,400,271,maksssksksss124.png,maksssksksss124.xml,maksssksksss124-157.png
239,126,290,182,with_mask,400,271,maksssksksss124.png,maksssksksss124.xml,maksssksksss124-158.png
91,146,143,204,with_mask,400,271,maksssksksss124.png,maksssksksss124.xml,maksssksksss124-159.png
333,133,360,170,without_mask,400,271,maksssksksss124.png,maksssksksss124.xml,maksssksksss124-160.png
118,151,216,279,without_mask,301,400,maksssksksss125.png,maksssksksss125.xml,maksssksksss125-161.png
106,45,158,104,with_mask,267,400,maksssksksss126.png,maksssksksss126.xml,maksssksksss126-162.png
194,62,215,88,with_mask,267,400,maksssksksss126.png,maksssksksss126.xml,maksssksksss126-163.png
226,2,267,97,without_mask,267,400,maksssksksss126.png,maksssksksss126.xml,maksssksksss126-164.png
98,46,130,80,with_mask,267,400,maksssksksss127.png,maksssksksss127.xml,maksssksksss127-165.png
93,183,194,295,without_mask,301,400,maksssksksss128.png,maksssksksss128.xml,maksssksksss128-166.png
106,69,124,89,without_mask,400,295,maksssksksss129.png,maksssksksss129.xml,maksssksksss129-167.png
246,40,271,69,with_mask,400,295,maksssksksss129.png,maksssksksss129.xml,maksssksksss129-168.png
149,30,168,53,without_mask,400,295,maksssksksss129.png,maksssksksss129.xml,maksssksksss129-169.png
229,53,241,72,with_mask,400,226,maksssksksss13.png,maksssksksss13.xml,maksssksksss13-170.png
28,54,44,71,with_mask,400,226,maksssksksss13.png,maksssksksss13.xml,maksssksksss13-171.png
98,62,114,80,with_mask,400,226,maksssksksss13.png,maksssksksss13.xml,maksssksksss13-172.png
162,51,194,89,mask_weared_incorrect,400,226,maksssksksss13.png,maksssksksss13.xml,maksssksksss13-173.png
352,53,373,71,with_mask,400,226,maksssksksss13.png,maksssksksss13.xml,maksssksksss13-174.png
293,60,313,81,with_mask,400,226,maksssksksss13.png,maksssksksss13.xml,maksssksksss13-175.png
7,104,46,147,mask_weared_incorrect,332,400,maksssksksss130.png,maksssksksss130.xml,maksssksksss130-176.png
162,58,208,112,mask_weared_incorrect,332,400,maksssksksss130.png,maksssksksss130.xml,maksssksksss130-177.png
304,95,332,141,without_mask,332,400,maksssksksss130.png,maksssksksss130.xml,maksssksksss130-178.png
198,95,223,136,without_mask,332,400,maksssksksss130.png,maksssksksss130.xml,maksssksksss130-179.png
65,63,110,112,with_mask,400,267,maksssksksss131.png,maksssksksss131.xml,maksssksksss131-180.png
127,31,166,76,with_mask,400,267,maksssksksss131.png,maksssksksss131.xml,maksssksksss131-181.png
257,55,284,86,without_mask,400,267,maksssksksss131.png,maksssksksss131.xml,maksssksksss131-182.png
284,66,321,107,with_mask,400,267,maksssksksss131.png,maksssksksss131.xml,maksssksksss131-183.png
252,125,295,167,without_mask,400,267,maksssksksss131.png,maksssksksss131.xml,maksssksksss131-184.png
345,93,363,116,with_mask,400,267,maksssksksss131.png,maksssksksss131.xml,maksssksksss131-185.png
236,74,256,99,without_mask,400,267,maksssksksss131.png,maksssksksss131.xml,maksssksksss131-186.png
216,63,237,83,without_mask,400,267,maksssksksss131.png,maksssksksss131.xml,maksssksksss131-187.png
106,72,190,182,mask_weared_incorrect,306,400,maksssksksss132.png,maksssksksss132.xml,maksssksksss132-188.png
100,179,221,318,with_mask,301,400,maksssksksss133.png,maksssksksss133.xml,maksssksksss133-189.png
302,43,318,59,with_mask,400,225,maksssksksss134.png,maksssksksss134.xml,maksssksksss134-190.png
179,24,197,47,with_mask,400,225,maksssksksss134.png,maksssksksss134.xml,maksssksksss134-191.png
183,74,205,100,with_mask,400,225,maksssksksss134.png,maksssksksss134.xml,maksssksksss134-192.png
269,70,285,89,with_mask,400,225,maksssksksss134.png,maksssksksss134.xml,maksssksksss134-193.png
343,15,359,34,without_mask,400,225,maksssksksss134.png,maksssksksss134.xml,maksssksksss134-194.png
156,22,177,48,without_mask,400,225,maksssksksss134.png,maksssksksss134.xml,maksssksksss134-195.png
92,19,117,50,with_mask,400,225,maksssksksss134.png,maksssksksss134.xml,maksssksksss134-196.png
49,157,144,225,with_mask,400,225,maksssksksss135.png,maksssksksss135.xml,maksssksksss135-197.png
151,67,270,198,with_mask,400,225,maksssksksss135.png,maksssksksss135.xml,maksssksksss135-198.png
100,105,152,158,with_mask,267,400,maksssksksss136.png,maksssksksss136.xml,maksssksksss136-199.png
283,158,310,181,without_mask,400,400,maksssksksss137.png,maksssksksss137.xml,maksssksksss137-200.png
217,153,241,174,without_mask,400,400,maksssksksss137.png,maksssksksss137.xml,maksssksksss137-201.png
158,165,175,185,with_mask,400,400,maksssksksss137.png,maksssksksss137.xml,maksssksksss137-202.png
114,142,131,163,with_mask,400,400,maksssksksss137.png,maksssksksss137.xml,maksssksksss137-203.png
76,146,95,164,without_mask,400,400,maksssksksss137.png,maksssksksss137.xml,maksssksksss137-204.png
38,143,53,161,without_mask,400,400,maksssksksss137.png,maksssksksss137.xml,maksssksksss137-205.png
147,169,217,233,with_mask,400,267,maksssksksss138.png,maksssksksss138.xml,maksssksksss138-206.png
51,144,128,239,with_mask,400,267,maksssksksss138.png,maksssksksss138.xml,maksssksksss138-207.png
224,92,309,186,with_mask,400,267,maksssksksss138.png,maksssksksss138.xml,maksssksksss138-208.png
56,132,79,162,mask_weared_incorrect,400,225,maksssksksss139.png,maksssksksss139.xml,maksssksksss139-209.png
182,13,209,36,with_mask,400,225,maksssksksss139.png,maksssksksss139.xml,maksssksksss139-210.png
358,116,388,141,with_mask,400,225,maksssksksss139.png,maksssksksss139.xml,maksssksksss139-211.png
345,34,372,57,with_mask,400,225,maksssksksss139.png,maksssksksss139.xml,maksssksksss139-212.png
320,1,341,15,with_mask,400,225,maksssksksss139.png,maksssksksss139.xml,maksssksksss139-213.png
286,10,314,38,with_mask,400,225,maksssksksss139.png,maksssksksss139.xml,maksssksksss139-214.png
246,73,268,98,with_mask,400,225,maksssksksss139.png,maksssksksss139.xml,maksssksksss139-215.png
253,13,277,35,with_mask,400,225,maksssksksss139.png,maksssksksss139.xml,maksssksksss139-216.png
213,164,243,193,with_mask,400,225,maksssksksss139.png,maksssksksss139.xml,maksssksksss139-217.png
196,146,219,168,with_mask,400,225,maksssksksss139.png,maksssksksss139.xml,maksssksksss139-218.png
188,55,213,80,with_mask,400,225,maksssksksss139.png,maksssksksss139.xml,maksssksksss139-219.png
138,191,165,221,with_mask,400,225,maksssksksss139.png,maksssksksss139.xml,maksssksksss139-220.png
36,152,65,183,with_mask,400,225,maksssksksss139.png,maksssksksss139.xml,maksssksksss139-221.png
99,74,122,100,with_mask,400,225,maksssksksss139.png,maksssksksss139.xml,maksssksksss139-222.png
4,177,35,209,with_mask,400,225,maksssksksss139.png,maksssksksss139.xml,maksssksksss139-223.png
30,71,51,92,without_mask,400,225,maksssksksss139.png,maksssksksss139.xml,maksssksksss139-224.png
23,36,45,59,with_mask,400,225,maksssksksss139.png,maksssksksss139.xml,maksssksksss139-225.png
2,28,19,46,with_mask,400,225,maksssksksss139.png,maksssksksss139.xml,maksssksksss139-226.png
93,15,117,34,with_mask,400,225,maksssksksss139.png,maksssksksss139.xml,maksssksksss139-227.png
152,192,239,319,without_mask,301,400,maksssksksss14.png,maksssksksss14.xml,maksssksksss14-228.png
210,114,336,255,with_mask,400,267,maksssksksss140.png,maksssksksss140.xml,maksssksksss140-229.png
37,74,188,247,with_mask,400,267,maksssksksss140.png,maksssksksss140.xml,maksssksksss140-230.png
220,123,260,169,with_mask,400,267,maksssksksss141.png,maksssksksss141.xml,maksssksksss141-231.png
129,96,175,155,with_mask,400,267,maksssksksss141.png,maksssksksss141.xml,maksssksksss141-232.png
144,110,244,235,with_mask,479,359,maksssksksss142.png,maksssksksss142.xml,maksssksksss142-233.png
102,200,194,333,with_mask,301,400,maksssksksss143.png,maksssksksss143.xml,maksssksksss143-234.png
130,19,155,47,with_mask,400,217,maksssksksss144.png,maksssksksss144.xml,maksssksksss144-235.png
298,60,316,80,with_mask,400,217,maksssksksss144.png,maksssksksss144.xml,maksssksksss144-236.png
212,56,232,79,with_mask,400,217,maksssksksss144.png,maksssksksss144.xml,maksssksksss144-237.png
310,96,333,119,without_mask,400,226,maksssksksss145.png,maksssksksss145.xml,maksssksksss145-238.png
91,89,114,111,mask_weared_incorrect,400,226,maksssksksss145.png,maksssksksss145.xml,maksssksksss145-239.png
183,102,203,122,mask_weared_incorrect,400,226,maksssksksss145.png,maksssksksss145.xml,maksssksksss145-240.png
265,90,324,153,with_mask,400,267,maksssksksss146.png,maksssksksss146.xml,maksssksksss146-241.png
119,122,184,192,with_mask,400,267,maksssksksss146.png,maksssksksss146.xml,maksssksksss146-242.png
103,9,120,33,without_mask,400,250,maksssksksss147.png,maksssksksss147.xml,maksssksksss147-243.png
272,33,294,55,with_mask,400,250,maksssksksss147.png,maksssksksss147.xml,maksssksksss147-244.png
198,15,218,36,with_mask,400,250,maksssksksss147.png,maksssksksss147.xml,maksssksksss147-245.png
224,89,243,109,with_mask,400,250,maksssksksss147.png,maksssksksss147.xml,maksssksksss147-246.png
243,120,283,179,with_mask,400,364,maksssksksss148.png,maksssksksss148.xml,maksssksksss148-247.png
325,77,397,156,without_mask,400,364,maksssksksss148.png,maksssksksss148.xml,maksssksksss148-248.png
68,95,124,157,without_mask,400,364,maksssksksss148.png,maksssksksss148.xml,maksssksksss148-249.png
1,20,81,136,with_mask,400,364,maksssksksss148.png,maksssksksss148.xml,maksssksksss148-250.png
151,89,247,205,with_mask,400,364,maksssksksss148.png,maksssksksss148.xml,maksssksksss148-251.png
116,104,140,144,without_mask,400,364,maksssksksss148.png,maksssksksss148.xml,maksssksksss148-252.png
38,98,71,130,with_mask,400,283,maksssksksss149.png,maksssksksss149.xml,maksssksksss149-253.png
180,103,215,136,with_mask,400,283,maksssksksss149.png,maksssksksss149.xml,maksssksksss149-254.png
330,104,359,133,with_mask,400,283,maksssksksss149.png,maksssksksss149.xml,maksssksksss149-255.png
287,53,315,85,with_mask,400,283,maksssksksss149.png,maksssksksss149.xml,maksssksksss149-256.png
315,57,341,89,with_mask,400,283,maksssksksss149.png,maksssksksss149.xml,maksssksksss149-257.png
324,180,348,210,with_mask,400,283,maksssksksss149.png,maksssksksss149.xml,maksssksksss149-258.png
59,144,125,213,with_mask,193,400,maksssksksss15.png,maksssksksss15.xml,maksssksksss15-259.png
82,330,118,366,with_mask,193,400,maksssksksss15.png,maksssksksss15.xml,maksssksksss15-260.png
60,136,164,260,with_mask,301,400,maksssksksss150.png,maksssksksss150.xml,maksssksksss150-261.png
59,131,64,138,without_mask,400,200,maksssksksss151.png,maksssksksss151.xml,maksssksksss151-262.png
225,105,235,117,with_mask,400,200,maksssksksss151.png,maksssksksss151.xml,maksssksksss151-263.png
82,127,89,134,with_mask,400,200,maksssksksss151.png,maksssksksss151.xml,maksssksksss151-264.png
111,132,116,138,with_mask,400,200,maksssksksss151.png,maksssksksss151.xml,maksssksksss151-265.png
143,134,149,139,with_mask,400,200,maksssksksss151.png,maksssksksss151.xml,maksssksksss151-266.png
134,134,139,140,with_mask,400,200,maksssksksss151.png,maksssksksss151.xml,maksssksksss151-267.png
126,131,132,138,with_mask,400,200,maksssksksss151.png,maksssksksss151.xml,maksssksksss151-268.png
101,142,105,146,with_mask,400,200,maksssksksss151.png,maksssksksss151.xml,maksssksksss151-269.png
170,142,180,152,mask_weared_incorrect,400,200,maksssksksss151.png,maksssksksss151.xml,maksssksksss151-270.png
278,100,288,113,with_mask,400,200,maksssksksss151.png,maksssksksss151.xml,maksssksksss151-271.png
204,75,225,99,with_mask,400,283,maksssksksss152.png,maksssksksss152.xml,maksssksksss152-272.png
289,25,312,54,with_mask,400,283,maksssksksss152.png,maksssksksss152.xml,maksssksksss152-273.png
173,34,193,60,with_mask,400,283,maksssksksss152.png,maksssksksss152.xml,maksssksksss152-274.png
101,41,124,68,with_mask,400,283,maksssksksss152.png,maksssksksss152.xml,maksssksksss152-275.png
66,25,82,48,with_mask,400,283,maksssksksss152.png,maksssksksss152.xml,maksssksksss152-276.png
